line,Familiar_diet,diet,rep,day,weight_g,weight,ln_weight_g
A,FW,CF,1,0,0.001523333,1.523333,-6.486854582
A,FW,CF,2,0,0.00206,2.06,-6.185049296
A,FW,CF,3,0,0.001656667,1.656667,-6.402947526
A,FW,CF,1,2,0.0072,7.2,-4.933674253
A,FW,CF,2,2,0.0056,5.6,-5.184988681
A,FW,CF,3,2,0.0078,7.8,-4.853631545
A,FW,CF,1,4,0.0189,18.9,-3.968593357
A,FW,CF,2,4,0.027,27,-3.611918413
A,FW,CF,3,4,0.0279,27.9,-3.57912859
A,FW,CF,1,6,0.0702,70.2,-2.656406968
A,FW,CF,2,6,0.0923,92.3,-2.382711137
A,FW,CF,3,6,0.0906,90.6,-2.401301066
A,FW,CF,1,8,0.1942,194.2,-1.638866723
A,FW,CF,2,8,0.1969,196.9,-1.625059293
A,FW,CF,3,8,0.1884,188.4,-1.669187917
A,FW,CF,1,10,0.2884,288.4,-1.243406874
A,FW,CF,2,10,0.2657,265.7,-1.325387426
A,FW,CF,3,10,0.2728,272.8,-1.299016353
A,FW,CF,1,12,0.3194,319.4,-1.141311043
A,FW,CF,2,12,0.2982,298.2,-1.209990877
A,FW,CF,3,12,0.3069,306.9,-1.181233317
A,FW,CF,1,14,0.299,299,-1.207311706
A,FW,CF,2,14,0.2961,296.1,-1.217058044
A,FW,CF,3,14,0.3044,304.4,-1.189412653
B,FW,CF,1,0,0.001416667,1.416667,-6.559448349
B,FW,CF,2,0,0.001936667,1.936667,-6.246786825
B,FW,CF,3,0,0.00153,1.53,-6.482487544
B,FW,CF,1,2,0.0053,5.3,-5.240048458
B,FW,CF,2,2,0.0032,3.2,-5.744604469
B,FW,CF,3,2,0.0084,8.4,-4.779523573
B,FW,CF,1,4,0.0148,14.8,-4.213128098
B,FW,CF,2,4,0.0414,41.4,-3.184474398
B,FW,CF,3,4,0.0379,37.9,-3.272804167
B,FW,CF,1,6,0.0646,64.6,-2.739540868
B,FW,CF,2,6,0.1018,101.8,-2.284745175
B,FW,CF,3,6,0.1184,118.4,-2.133686557
B,FW,CF,1,8,0.1675,167.5,-1.786771928
B,FW,CF,2,8,0.1874,187.4,-1.674509909
B,FW,CF,3,8,0.2012,201.2,-1.603455841
B,FW,CF,1,10,0.2884,288.4,-1.243406874
B,FW,CF,2,10,0.2657,265.7,-1.325387426
B,FW,CF,3,10,0.2728,272.8,-1.299016353
B,FW,CF,1,12,0.3126,312.6,-1.162830861
B,FW,CF,2,12,0.3054,305.4,-1.186132886
B,FW,CF,3,12,0.2896,289.6,-1.239254618
B,FW,CF,1,14,0.3082,308.2,-1.177006356
B,FW,CF,2,14,0.3108,310.8,-1.16860566
B,FW,CF,3,14,0.309,309,-1.174414002
C,FW,CF,1,0,0.002636667,2.636667,-5.938239659
C,FW,CF,2,0,0.002,2,-6.214608098
C,FW,CF,3,0,0.002533333,2.533333,-5.978219452
C,FW,CF,1,2,0.0087,8.7,-4.744432253
C,FW,CF,2,2,0.0098,9.8,-4.625372893
C,FW,CF,3,2,0.0084,8.4,-4.779523573
C,FW,CF,1,4,0.037,37,-3.296837366
C,FW,CF,2,4,0.0542,54.2,-2.915074371
C,FW,CF,3,4,0.0262,26.2,-3.641995868
C,FW,CF,1,6,0.1044,104.4,-2.259525604
C,FW,CF,2,6,0.1052,105.2,-2.251891979
C,FW,CF,3,6,0.0812,81.2,-2.510840032
C,FW,CF,1,8,0.2092,209.2,-1.564464547
C,FW,CF,2,8,0.2336,233.6,-1.454145028
C,FW,CF,3,8,0.2134,213.4,-1.54458694
C,FW,CF,1,10,0.2882,288.2,-1.244100595
C,FW,CF,2,10,0.3065,306.5,-1.182537524
C,FW,CF,3,10,0.2837,283.7,-1.259837937
C,FW,CF,1,12,0.3264,326.4,-1.119631656
C,FW,CF,2,12,0.2943,294.3,-1.223155624
C,FW,CF,3,12,0.3048,304.8,-1.188099455
C,FW,CF,1,14,0.3331,333.1,-1.099312534
C,FW,CF,2,14,0.3229,322.9,-1.130412601
C,FW,CF,3,14,0.3105,310.5,-1.169571378
D,FW,CF,1,0,0.00286,2.86,-5.856933654
D,FW,CF,2,0,0.003073333,3.073333,-5.784992639
D,FW,CF,3,0,0.002993333,2.993333,-5.811367797
D,FW,CF,1,2,0.013,13,-4.342805922
D,FW,CF,2,2,0.0141,14.1,-4.261580482
D,FW,CF,3,2,0.0094,9.4,-4.66704559
D,FW,CF,1,4,0.0444,44.4,-3.11451581
D,FW,CF,2,4,0.037,37,-3.296837366
D,FW,CF,3,4,0.0244,24.4,-3.713172147
D,FW,CF,1,6,0.1121,112.1,-2.188363949
D,FW,CF,2,6,0.1087,108.7,-2.219163485
D,FW,CF,3,6,0.0919,91.9,-2.38705425
D,FW,CF,1,8,0.211,211,-1.555897146
D,FW,CF,2,8,0.2165,216.5,-1.530164732
D,FW,CF,3,8,0.2138,213.8,-1.54271428
D,FW,CF,1,10,0.2943,294.3,-1.223155624
D,FW,CF,2,10,0.2896,289.6,-1.239254618
D,FW,CF,3,10,0.2716,271.6,-1.303424883
D,FW,CF,1,12,0.3006,300.6,-1.201974802
D,FW,CF,2,12,0.3032,303.2,-1.193362625
D,FW,CF,3,12,0.304,304,-1.190727578
D,FW,CF,1,14,0.3366,336.6,-1.088859997
D,FW,CF,2,14,0.3315,331.5,-1.104127469
D,FW,CF,3,14,0.3351,335.1,-1.093326284
E,FW,CF,1,0,0.002343333,2.343333,-6.056181004
E,FW,CF,2,0,0.001776667,1.776667,-6.333016142
E,FW,CF,3,0,0.001736667,1.736667,-6.35578752
E,FW,CF,1,2,0.006,6,-5.11599581
E,FW,CF,2,2,0.0067,6.7,-5.005647753
E,FW,CF,3,2,0.0085,8.5,-4.767689115
E,FW,CF,1,4,0.0244,24.4,-3.713172147
E,FW,CF,2,4,0.0224,22.4,-3.79869432
E,FW,CF,3,4,0.0212,21.2,-3.853754097
E,FW,CF,1,6,0.0595,59.5,-2.821778966
E,FW,CF,2,6,0.0655,65.5,-2.725705136
E,FW,CF,3,6,0.0686,68.6,-2.679462744
E,FW,CF,1,8,0.1953,195.3,-1.633218441
E,FW,CF,2,8,0.1793,179.3,-1.718694898
E,FW,CF,3,8,0.1931,193.1,-1.64454709
E,FW,CF,1,10,0.2708,270.8,-1.306374738
E,FW,CF,2,10,0.2932,293.2,-1.226900309
E,FW,CF,3,10,0.2719,271.9,-1.302320927
E,FW,CF,1,12,0.3158,315.8,-1.152646177
E,FW,CF,2,12,0.3042,304.2,-1.190069899
E,FW,CF,3,12,0.3026,302.6,-1.195343478
E,FW,CF,1,14,0.3158,315.8,-1.152646177
E,FW,CF,2,14,0.3042,304.2,-1.190069899
E,FW,CF,3,14,0.3026,302.6,-1.195343478
WT_1,FW,CF,1,0,0.001353333,1.353333,-6.60518484
WT_1,FW,CF,2,0,0.00143,1.43,-6.550080835
WT_1,FW,CF,3,0,0.001453333,1.453333,-6.53389574
WT_1,FW,CF,1,2,0.0108,10.8,-4.528209145
WT_1,FW,CF,2,2,0.0061,6.1,-5.099466508
WT_1,FW,CF,3,2,0.0068,6.8,-4.990832667
WT_1,FW,CF,1,4,0.0385,38.5,-3.257097038
WT_1,FW,CF,2,4,0.0345,34.5,-3.366795955
WT_1,FW,CF,3,4,0.0343,34.3,-3.372609925
WT_1,FW,CF,1,6,0.1296,129.6,-2.043302495
WT_1,FW,CF,2,6,0.1085,108.5,-2.221005106
WT_1,FW,CF,3,6,0.1133,113.3,-2.177716111
WT_1,FW,CF,1,8,0.234,234,-1.452434164
WT_1,FW,CF,2,8,0.2119,211.9,-1.551640814
WT_1,FW,CF,3,8,0.215,215,-1.537117251
WT_1,FW,CF,1,10,0.3024,302.4,-1.196004635
WT_1,FW,CF,2,10,0.3147,314.7,-1.156135475
WT_1,FW,CF,3,10,0.3032,303.2,-1.193362625
WT_1,FW,CF,1,12,0.325,325,-1.123930097
WT_1,FW,CF,2,12,0.3218,321.8,-1.133825044
WT_1,FW,CF,3,12,0.34,340,-1.078809661
WT_1,FW,CF,1,14,0.3435,343.5,-1.068568167
WT_1,FW,CF,2,14,0.3562,356.2,-1.032262908
WT_1,FW,CF,3,14,0.3344,334.4,-1.095417398
WT_2,CF,CF,1,0,0.001516667,1.516667,-6.491240115
WT_2,CF,CF,2,0,0.001583333,1.583333,-6.44822316
WT_2,CF,CF,3,0,0.001983333,1.983333,-6.222976516
WT_2,CF,CF,1,2,0.0101,10.1,-4.595219855
WT_2,CF,CF,2,2,0.0091,9.1,-4.699480865
WT_2,CF,CF,3,2,0.0113,11.3,-4.482952553
WT_2,CF,CF,1,4,0.0613,61.3,-2.791975436
WT_2,CF,CF,2,4,0.0515,51.5,-2.966173471
WT_2,CF,CF,3,4,0.066,66,-2.718100537
WT_2,CF,CF,1,6,0.1719,171.9,-1.760842367
WT_2,CF,CF,2,6,0.1576,157.6,-1.847695102
WT_2,CF,CF,3,6,0.1923,192.3,-1.648698626
WT_2,CF,CF,1,8,0.2733,273.3,-1.297185186
WT_2,CF,CF,2,8,0.2432,243.2,-1.413871129
WT_2,CF,CF,3,8,0.2635,263.5,-1.333701911
WT_2,CF,CF,1,10,0.3059,305.9,-1.184497028
WT_2,CF,CF,2,10,0.3078,307.8,-1.178305058
WT_2,CF,CF,3,10,0.2745,274.5,-1.292804018
WT_2,CF,CF,1,12,0.334,334,-1.096614286
WT_2,CF,CF,2,12,0.3174,317.4,-1.147592471
WT_2,CF,CF,3,12,0.3224,322.4,-1.131962268
SW,CF,CF,1,0,0.00239,2.39,-6.036461913
SW,CF,CF,2,0,0.00208,2.08,-6.175387385
SW,CF,CF,3,0,0.002076667,2.076667,-6.176991074
SW,CF,CF,1,2,0.0138,13.8,-4.283086687
SW,CF,CF,2,2,0.0115,11.5,-4.465408244
SW,CF,CF,3,2,0.0119,11.9,-4.431216879
SW,CF,CF,1,4,0.0646,64.6,-2.739540868
SW,CF,CF,2,4,0.0584,58.4,-2.840439389
SW,CF,CF,3,4,0.061,61,-2.796881415
SW,CF,CF,1,6,0.1281,128.1,-2.05494407
SW,CF,CF,2,6,0.138,138,-1.980501594
SW,CF,CF,3,6,0.153,153,-1.877317358
SW,CF,CF,1,8,0.2357,235.7,-1.445195469
SW,CF,CF,2,8,0.2509,250.9,-1.382700826
SW,CF,CF,3,8,0.2359,235.9,-1.444347293
SW,CF,CF,1,10,0.3003,300.3,-1.202973304
SW,CF,CF,2,10,0.2775,277.5,-1.281934346
SW,CF,CF,3,10,0.2823,282.3,-1.264784944
SW,CF,CF,1,12,0.3039,303.9,-1.191056579
SW,CF,CF,2,12,0.3038,303.8,-1.191385689
SW,CF,CF,3,12,0.2986,298.6,-1.208650394
A,FW,FW,1,0,0.000903333,0.903333,-7.009419302
A,FW,FW,2,0,0.000956667,0.956667,-6.952055189
A,FW,FW,3,0,0.000886667,0.886667,-7.028041069
B,FW,FW,1,0,0.000906667,0.906667,-7.00573532
B,FW,FW,2,0,0.00081,0.81,-7.11847631
B,FW,FW,3,0,0.000846667,0.846667,-7.074203093
D,FW,FW,1,0,0.001336667,1.336667,-6.617576077
D,FW,FW,2,0,0.001183333,1.183333,-6.739420246
D,FW,FW,3,0,0.001006667,1.006667,-6.901110405
WT_1,FW,FW,1,0,0.002803333,2.803333,-5.876946213
WT_1,FW,FW,2,0,0.001273333,1.273333,-6.666117407
WT_1,FW,FW,3,0,0.00138,1.38,-6.58567178
C,FW,FW,1,0,0.001013333,1.013333,-6.894510381
C,FW,FW,2,0,0.001483333,1.483333,-6.513463696
C,FW,FW,3,0,0.001556667,1.556667,-6.465208282
E,FW,FW,1,0,0.000923333,0.923333,-6.987520608
E,FW,FW,2,0,0.001373333,1.373333,-6.590514647
E,FW,FW,3,0,0.001016667,1.016667,-6.891225649
WT_2,CF,FW,1,0,0.002716667,2.716667,-5.908349518
WT_2,CF,FW,2,0,0.002516667,2.516667,-5.984819872
WT_2,CF,FW,3,0,0.002473333,2.473333,-6.002188645
SW,CF,FW,1,0,0.003066667,3.066667,-5.787163975
SW,CF,FW,2,0,0.00302,3.02,-5.802498448
SW,CF,FW,3,0,0.002973333,2.973333,-5.818071733
A,FW,FW,1,2,0.008057,8.057,-4.821214
A,FW,FW,2,2,0.006198,6.198,-5.08352862
A,FW,FW,3,2,0.005963,5.963,-5.122181569
B,FW,FW,1,2,0.003664,3.664,-5.609199832
B,FW,FW,2,2,0.004847,4.847,-5.329395322
B,FW,FW,3,2,0.005491,5.491,-5.204644891
D,FW,FW,1,2,0.003883,3.883,-5.551147228
D,FW,FW,2,2,0.005653,5.653,-5.175568901
D,FW,FW,3,2,0.006255,6.255,-5.074374135
WT_1,FW,FW,1,2,0.0129,12.9,-4.350527968
WT_1,FW,FW,2,2,0.014915,14.915,-4.205387861
WT_1,FW,FW,3,2,0.013047,13.047,-4.339197057
C,FW,FW,1,2,0.006652,6.652,-5.012837718
C,FW,FW,2,2,0.011802,11.802,-4.43948627
C,FW,FW,3,2,0.007938,7.938,-4.836093925
E,FW,FW,1,2,0.005322,5.322,-5.235906106
E,FW,FW,2,2,0.008638,8.638,-4.751584204
E,FW,FW,3,2,0.005237,5.237,-5.252006464
WT_2,CF,FW,1,2,0.013976,13.976,-4.270413706
WT_2,CF,FW,2,2,0.017884,17.884,-4.023848821
WT_2,CF,FW,3,2,0.014841,14.841,-4.210361658
SW,CF,FW,1,2,0.019915,19.915,-3.916282062
SW,CF,FW,2,2,0.021969,21.969,-3.81812291
SW,CF,FW,3,2,0.014743,14.743,-4.216986885
A,FW,FW,1,4,0.065362,65.362,-2.727814229
A,FW,FW,2,4,0.052936,52.936,-2.938671642
A,FW,FW,3,4,0.058153,58.153,-2.844677811
B,FW,FW,1,4,0.044169,44.169,-3.119732093
B,FW,FW,2,4,0.049743,49.743,-3.000885529
B,FW,FW,3,4,0.039822,39.822,-3.223335756
D,FW,FW,1,4,0.057609,57.609,-2.854076473
D,FW,FW,2,4,0.053503,53.503,-2.928017552
D,FW,FW,3,4,0.060187,60.187,-2.810298897
WT_1,FW,FW,1,4,0.107334,107.334,-2.231809811
WT_1,FW,FW,2,4,0.074235,74.235,-2.600519542
WT_1,FW,FW,3,4,0.091626,91.626,-2.390040205
C,FW,FW,1,4,0.045796,45.796,-3.083558528
C,FW,FW,2,4,0.03859,38.59,-3.254762103
C,FW,FW,3,4,0.055352,55.352,-2.894042487
E,FW,FW,1,4,0.052393,52.393,-2.948982284
E,FW,FW,2,4,0.052252,52.252,-2.951677111
E,FW,FW,3,4,0.035847,35.847,-3.328495397
WT_2,CF,FW,1,4,0.075578,75.578,-2.582590043
WT_2,CF,FW,2,4,0.061487,61.487,-2.788929509
WT_2,CF,FW,3,4,0.054786,54.786,-2.904320592
SW,CF,FW,1,4,0.075798,75.798,-2.579683372
SW,CF,FW,2,4,0.086146,86.146,-2.451711748
SW,CF,FW,3,4,0.063687,63.687,-2.753774819
A,FW,FW,1,6,0.15378,153.78,-1.872232269
A,FW,FW,2,6,0.174763,174.763,-1.744324509
A,FW,FW,3,6,0.178006,178.006,-1.725938021
B,FW,FW,1,6,0.143538,143.538,-1.94115547
B,FW,FW,2,6,0.142913,142.913,-1.945519225
B,FW,FW,3,6,0.132299,132.299,-2.022690766
D,FW,FW,1,6,0.179341,179.341,-1.718466257
D,FW,FW,2,6,0.154551,154.551,-1.86723114
D,FW,FW,3,6,0.156032,156.032,-1.857694165
WT_1,FW,FW,1,6,0.249434,249.434,-1.388560928
WT_1,FW,FW,2,6,0.179471,179.471,-1.717741644
WT_1,FW,FW,3,6,0.206267,206.267,-1.578583833
C,FW,FW,1,6,0.150484,150.484,-1.893898513
C,FW,FW,2,6,0.132763,132.763,-2.019189695
C,FW,FW,3,6,0.160785,160.785,-1.82768721
E,FW,FW,1,6,0.167104,167.104,-1.789138906
E,FW,FW,2,6,0.167446,167.446,-1.787094368
E,FW,FW,3,6,0.129376,129.376,-2.045032386
WT_2,CF,FW,1,6,0.208172,208.172,-1.569390618
WT_2,CF,FW,2,6,0.182457,182.457,-1.70124075
WT_2,CF,FW,3,6,0.179174,179.174,-1.719397878
SW,CF,FW,1,6,0.166205,166.205,-1.794533313
SW,CF,FW,2,6,0.160098,160.098,-1.831969151
SW,CF,FW,3,6,0.140412,140.412,-1.963174321
A,FW,FW,1,8,0.3,300,-1.203972804
A,FW,FW,2,8,0.297489,297.489,-1.212378029
A,FW,FW,3,8,0.296226,296.226,-1.216632602
B,FW,FW,1,8,0.287103,287.103,-1.247914243
B,FW,FW,2,8,0.232197,232.197,-1.46016913
B,FW,FW,3,8,0.252386,252.386,-1.376795617
D,FW,FW,1,8,0.303923,303.923,-1.190980899
D,FW,FW,2,8,0.265773,265.773,-1.325112718
D,FW,FW,3,8,0.253564,253.564,-1.372139022
WT_1,FW,FW,1,8,0.295628,295.628,-1.218653372
WT_1,FW,FW,2,8,0.278752,278.752,-1.277432781
WT_1,FW,FW,3,8,0.296102,296.102,-1.217051289
C,FW,FW,1,8,0.252857,252.857,-1.374931167
C,FW,FW,2,8,0.216434,216.434,-1.530469628
C,FW,FW,3,8,0.252946,252.946,-1.374579252
E,FW,FW,1,8,0.266118,266.118,-1.32381546
E,FW,FW,2,8,0.263813,263.813,-1.33251476
E,FW,FW,3,8,0.283524,283.524,-1.260458503
WT_2,CF,FW,1,8,0.286364,286.364,-1.25049155
WT_2,CF,FW,2,8,0.25886,258.86,-1.351467904
WT_2,CF,FW,3,8,0.249519,249.519,-1.388220214
SW,CF,FW,1,8,0.234383,234.383,-1.45079875
SW,CF,FW,2,8,0.236427,236.427,-1.442115787
SW,CF,FW,3,8,0.253632,253.632,-1.371870881
A,FW,FW,1,10,0.302492,302.492,-1.195700448
A,FW,FW,2,10,0.30454,304.54,-1.188952838
A,FW,FW,3,10,0.295868,295.868,-1.21784187
B,FW,FW,1,10,0.318632,318.632,-1.143718447
B,FW,FW,2,10,0.283374,283.374,-1.260987699
B,FW,FW,3,10,0.291371,291.371,-1.23315791
D,FW,FW,1,10,0.34231,342.31,-1.07203852
D,FW,FW,2,10,0.300431,300.431,-1.202537169
D,FW,FW,3,10,0.287966,287.966,-1.244912861
WT_1,FW,FW,1,10,0.320877,320.877,-1.136697407
WT_1,FW,FW,2,10,0.3513,351.3,-1.04611472
WT_1,FW,FW,3,10,0.331435,331.435,-1.104323567
C,FW,FW,1,10,0.290886,290.886,-1.234823841
C,FW,FW,2,10,0.276226,276.226,-1.286535908
C,FW,FW,3,10,0.309945,309.945,-1.171360417
E,FW,FW,1,10,0.306726,306.726,-1.181800438
E,FW,FW,2,10,0.282047,282.047,-1.265681555
E,FW,FW,3,10,0.312676,312.676,-1.162587768
WT_2,CF,FW,1,10,0.301018,301.018,-1.200585215
WT_2,CF,FW,2,10,0.288217,288.217,-1.24404161
WT_2,CF,FW,3,10,0.297257,297.257,-1.213158194
SW,CF,FW,1,10,0.265137,265.137,-1.327508605
SW,CF,FW,2,10,0.231917,231.917,-1.46137573
SW,CF,FW,3,10,0.255891,255.891,-1.363003706
A,FW,FW,1,12,0.319827,319.827,-1.139975054
A,FW,FW,2,12,0.309165,309.165,-1.173880164
A,FW,FW,3,12,0.349484,349.484,-1.051297498
B,FW,FW,1,12,0.328645,328.645,-1.112777138
B,FW,FW,2,12,0.293793,293.793,-1.224879841
B,FW,FW,3,12,0.32607,326.07,-1.120643197
D,FW,FW,1,12,0.347501,347.501,-1.056987736
D,FW,FW,2,12,0.322829,322.829,-1.130632508
D,FW,FW,3,12,0.334685,334.685,-1.094565488
WT_1,FW,FW,1,12,0.32457,324.57,-1.12525405
WT_1,FW,FW,2,12,0.331192,331.192,-1.105057011
WT_1,FW,FW,3,12,0.3588,358.8,-1.024990149
C,FW,FW,1,12,0.314582,314.582,-1.156510506
C,FW,FW,2,12,0.320433,320.433,-1.138082073
C,FW,FW,3,12,0.32293,322.93,-1.130319698
E,FW,FW,1,12,0.311362,311.362,-1.166799057
E,FW,FW,2,12,0.32304,323.04,-1.129979124
E,FW,FW,3,12,0.330446,330.446,-1.107312022
WT_2,CF,FW,1,12,0.287469,287.469,-1.246640251
WT_2,CF,FW,2,12,0.34417,344.17,-1.066619558
WT_2,CF,FW,3,12,0.315827,315.827,-1.152560684
SW,CF,FW,1,12,0.275068,275.068,-1.290736939
SW,CF,FW,2,12,0.262693,262.693,-1.336769229
SW,CF,FW,3,12,0.260167,260.167,-1.346431546
A,FW,FW,1,14,0.335084,335.084,-1.093374032
A,FW,FW,2,14,0.326269,326.269,-1.120033084
A,FW,FW,3,14,0.327368,327.368,-1.116670359
B,FW,FW,1,14,0.320698,320.698,-1.137255409
B,FW,FW,2,14,0.316681,316.681,-1.149860321
B,FW,FW,3,14,0.302572,302.572,-1.195436013
D,FW,FW,1,14,0.324588,324.588,-1.125198593
D,FW,FW,2,14,0.295715,295.715,-1.218359126
D,FW,FW,3,14,0.306781,306.781,-1.181621141
WT_1,FW,FW,1,14,0.285551,285.551,-1.253334632
WT_1,FW,FW,2,14,0.338927,338.927,-1.081970534
WT_1,FW,FW,3,14,0.349041,349.041,-1.052565885
C,FW,FW,1,14,0.319734,319.734,-1.140265879
C,FW,FW,2,14,0.316546,316.546,-1.150286708
C,FW,FW,3,14,0.300099,300.099,-1.203642859
E,FW,FW,1,14,0.326406,326.406,-1.119613274
E,FW,FW,2,14,0.325333,325.333,-1.122906006
E,FW,FW,3,14,0.324299,324.299,-1.126089349
WT_2,CF,FW,1,14,0.303604,303.604,-1.192031058
WT_2,CF,FW,2,14,0.315899,315.899,-1.152332737
WT_2,CF,FW,3,14,0.3472,347.2,-1.057854296
SW,CF,FW,1,14,0.264745,264.745,-1.32898818
SW,CF,FW,2,14,0.301708,301.708,-1.198295617
SW,CF,FW,3,14,0.256216,256.216,-1.36173444
